BOLOMBOY JOEL,9:28,2,0,0,2/2,1,1,2,0,0,1,1,0,2,2,4,12.30.2020,CSKA,Milan,FALSE
JAMES MIKE,39:58,20,4/12,3/12,3/4,2,2,4,11,0,7,0,1,2,6,13,12.30.2020,CSKA,Milan,FALSE
HILLIARD DARRUN,24:27,7,2/5,1/7,0,0,1,1,2,1,2,0,1,3,2,-2,12.30.2020,CSKA,Milan,FALSE
HACKETT DANIEL,29:33,19,2/4,3/7,6/8,2,3,5,2,1,0,0,0,3,6,22,12.30.2020,CSKA,Milan,FALSE
ANTONOV SEMEN,10:20,0,0/1,0/2,0,1,1,2,0,0,0,0,0,1,0,-2,12.30.2020,CSKA,Milan,FALSE
STRELNIEKS JANIS,12:22,3,0/5,1/1,0,1,0,1,1,0,1,0,0,3,1,-3,12.30.2020,CSKA,Milan,FALSE
VOIGTMANN JOHANNES,30:12,13,1/1,3/5,2/2,1,11,12,0,0,1,0,0,2,3,23,12.30.2020,CSKA,Milan,FALSE
SHENGELIA TORNIKE,14:48,8,4/5,0,0,3,4,7,0,1,2,0,0,5,4,12,12.30.2020,CSKA,Milan,FALSE
MILUTINOV NIKOLA,32:15,17,6/13,0,5/6,16,3,19,0,0,2,1,1,1,5,30,12.30.2020,CSKA,Milan,FALSE
KURBANOV NIKITA,21:37,2,1/2,0/2,0,1,3,4,1,0,0,0,0,4,0,0,12.30.2020,CSKA,Milan,FALSE
BOLOMBOY JOEL,25:59,13,5/6,0,3/3,4,5,9,0,0,0,2,0,2,2,23,01.07.2021,CSKA,Baskonia,FALSE
KHOMENKO ALEXANDER,5:11,0,0,0/2,0,0,0,0,0,0,0,0,0,1,2,-1,01.07.2021,CSKA,Baskonia,FALSE
JAMES MIKE,34:49,20,3/11,4/8,2/2,0,5,5,7,1,0,0,2,0,6,25,01.07.2021,CSKA,Baskonia,FALSE
HILLIARD DARRUN,12:39,9,0/1,3/4,0,0,1,1,0,0,0,0,0,3,0,5,01.07.2021,CSKA,Baskonia,FALSE
UKHOV IVAN,14:59,5,1/3,1/2,0,0,1,1,1,0,2,0,0,2,2,2,01.07.2021,CSKA,Baskonia,FALSE
